"visibility","datetime","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.main","weather.description","city_name","rain.1h"
10000.0,"2025-03-01 00:02:12+08:00",27.02,29.6,27.02,27.02,1013.0,78.0,1013.0,1001.0,3.09,340.0,"",75.0,"2025-03-01 05:58:58+08:00","2025-03-01 17:54:35+08:00","Clouds","broken clouds","Lapu-Lapu City",""
10000.0,"2025-02-28 23:59:15+08:00",25.9,26.56,24.99,26.96,1015.0,77.0,1015.0,1011.0,1.54,110.0,"",75.0,"2025-03-01 06:13:06+08:00","2025-03-01 18:04:10+08:00","Clouds","broken clouds","Las Piñas",""
10000.0,"2025-03-01 00:02:17+08:00",23.79,24.63,23.79,23.79,1015.0,92.0,1015.0,996.0,2.66,49.0,6.43,100.0,"2025-03-01 06:01:23+08:00","2025-03-01 17:53:54+08:00","Clouds","overcast clouds","Legazpi City",""
10000.0,"2025-03-01 00:02:19+08:00",22.5,23.26,22.5,22.5,1015.0,94.0,1015.0,996.0,1.38,54.0,2.41,100.0,"2025-03-01 06:02:14+08:00","2025-03-01 17:54:39+08:00","Clouds","overcast clouds","Ligao",""
10000.0,"2025-03-01 00:02:22+08:00",20.54,21.16,20.54,20.54,1015.0,96.0,1015.0,989.0,1.35,21.0,4.39,99.0,"2025-03-01 06:12:06+08:00","2025-03-01 18:03:43+08:00","Clouds","overcast clouds","Lipa City",""
10000.0,"2025-03-01 00:02:23+08:00",24.59,25.35,24.59,24.59,1013.0,86.0,1013.0,1010.0,6.26,359.0,9.98,100.0,"2025-03-01 06:04:41+08:00","2025-03-01 17:59:41+08:00","Clouds","overcast clouds","Lucena",""
10000.0,"2025-03-01 00:02:25+08:00",23.85,24.56,23.85,23.85,1013.0,87.0,1013.0,986.0,5.51,9.0,10.55,100.0,"2025-03-01 06:05:20+08:00","2025-03-01 18:00:19+08:00","Clouds","overcast clouds","Maasin",""
10000.0,"2025-03-01 00:02:27+08:00",25.21,25.69,25.21,25.21,1016.0,73.0,1016.0,998.0,1.03,160.0,"",75.0,"2025-03-01 06:15:10+08:00","2025-03-01 18:05:23+08:00","Clouds","broken clouds","Mabalacat City",""
10000.0,"2025-03-01 00:00:00+08:00",26.33,26.33,24.93,26.9,1014.0,74.0,1014.0,1014.0,1.54,110.0,"",75.0,"2025-03-01 06:12:58+08:00","2025-03-01 18:03:55+08:00","Clouds","broken clouds","Makati City",""
10000.0,"2025-03-01 00:02:31+08:00",24.05,24.5,24.05,24.05,1015.0,76.0,1015.0,990.0,1.87,87.0,1.75,1.0,"2025-03-01 06:17:57+08:00","2025-03-01 18:07:41+08:00","Clear","clear sky","Malabon",""
